Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
BL6 4GX,Yes,53.56016,-2.510558,366278,407181,SD662071,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",2001-12-01,,"Westhoughton","",122,44,"Westhoughton","Westhoughton","Bolton 028G","Urban major conurbation",North West,114,,E01033219
BL6 4HA,Yes,53.563806,-2.503053,366778,407583,SD667075,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",45,24,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HB,Yes,53.564232,-2.502092,366842,407630,SD668076,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",74,29,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HD,Yes,53.561691,-2.505836,366592,407349,SD665073,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",34,11,"Westhoughton","Westhoughton","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HE,Yes,53.572996,-2.488952,367719,408599,SD677085,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",78,33,"Greater Manchester","Bolton","Bolton 020E","Urban major conurbation",North West,113,,E01004897
BL6 4HF,Yes,53.565921,-2.500164,366971,407817,SD669078,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1998-06-01,,"","",11,5,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,112,,E01033219
BL6 4HG,Yes,53.562196,-2.501192,366900,407403,SD669074,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1994-05-01,,"","",14,6,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HH,Yes,53.559619,-2.509011,366380,407120,SD663071,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"Westhoughton","",44,21,"Westhoughton","Westhoughton","Bolton 028F","Urban major conurbation",North West,115,,E01033218
BL6 4HJ,Yes,53.562959,-2.503375,366756,407489,SD667074,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",5,2,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,116,,E01033219
BL6 4HL,Yes,53.562555,-2.501256,366896,407443,SD668074,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",46,17,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HN,Yes,53.561803,-2.500583,366940,407359,SD669073,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",32,17,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HP,Yes,53.560278,-2.49972,366996,407189,SD669071,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",15,5,"","","Bolton 028G","Urban major conurbation",North West,116,,E01033219
BL6 4HQ,Yes,53.566206,-2.496498,367214,407847,SD672078,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1987-04-01,,"","",13,5,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,116,,E01033219
BL6 4HR,Yes,53.562363,-2.499956,366982,407421,SD669074,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",11,5,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,114,,E01033219
BL6 4HS,Yes,53.563361,-2.499666,367002,407532,SD670075,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",52,20,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HT,Yes,53.564072,-2.497485,367147,407610,SD671076,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",17,7,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,114,,E01033219
BL6 4HU,Yes,53.562167,-2.490774,367590,407395,SD675073,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",1,1,"","","Bolton 028G","Urban major conurbation",North West,117,,E01033219
BL6 4HW,Yes,53.560038,-2.501302,366891,407163,SD668071,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1980-01-01,,"","",10,3,"","","Bolton 028G","Urban major conurbation",North West,117,,E01033219
BL6 4HX,Yes,53.561888,-2.499422,367017,407368,SD670073,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1990-02-01,,"","",31,9,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,115,,E01033219
BL6 4HY,Yes,53.563627,-2.498582,367074,407561,SD670075,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1990-02-01,,"","",32,9,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,114,,E01033219
BL6 4HZ,Yes,53.563236,-2.501642,366871,407519,SD668075,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1990-07-01,,"","",103,36,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,114,,E01033219
BL6 4JA,Yes,53.562825,-2.498889,367053,407472,SD670074,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",2000-12-01,,"","",35,12,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,114,,E01033219
BL6 4JB,Yes,53.573113,-2.495537,367283,408615,SD672086,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",2002-12-01,,"","",2,1,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,107,,E01004844
BL6 4JD,Yes,53.581799,-2.497043,367190,409582,SD671095,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",133,46,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,155,,E01004844
BL6 4JE,Yes,53.586714,-2.516407,365912,410138,SD659101,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",98,38,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,151,,E01004885
BL6 4JF,Yes,53.584648,-2.516125,365929,409908,SD659099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",147,57,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,150,,E01004885
BL6 4JG,Yes,53.586473,-2.516132,365930,410111,SD659101,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",34,12,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,152,,E01004885
BL6 4JH,Yes,53.586972,-2.514975,366007,410166,SD660101,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",33,15,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,158,,E01004885
BL6 4JJ,Yes,53.566765,-2.483006,368108,407903,SD681079,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",7,2,"Greater Manchester","Bolton","Bolton 020E","Urban major conurbation",North West,121,,E01004897
BL6 4JL,Yes,53.58462,-2.518436,365776,409906,SD657099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",36,11,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,142,,E01004885
BL6 4JN,Yes,53.574116,-2.494295,367366,408726,SD673087,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",17,7,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,110,,E01004844
BL6 4JQ,Yes,53.585114,-2.516493,365905,409960,SD659099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",22,5,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,148,,E01004885
BL6 4JR,Yes,53.577082,-2.494254,367371,409056,SD673090,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",52,19,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,119,,E01004844
BL6 4JS,Yes,53.577818,-2.494459,367358,409138,SD673091,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",8,4,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,126,,E01004844
BL6 4JT,Yes,53.578524,-2.49329,367436,409216,SD674092,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",3,1,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,136,,E01004844
BL6 4JU,Yes,53.5787,-2.494258,367372,409236,SD673092,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",10,5,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,135,,E01004844
BL6 4JW,Yes,53.575406,-2.495398,367294,408870,SD672088,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",48,15,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,114,,E01004844
BL6 4JX,Yes,53.578194,-2.494811,367335,409180,SD673091,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",12,6,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,128,,E01004844
BL6 4JY,Yes,53.579423,-2.493436,367427,409316,SD674093,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",3,2,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,147,,E01004844
BL6 4JZ,Yes,53.580556,-2.497678,367147,409444,SD671094,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",24,10,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,143,,E01004844
BL6 4LA,Yes,53.581493,-2.499305,367040,409549,SD670095,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",2,1,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,128,,E01004844
BL6 4LB,Yes,53.580939,-2.498332,367104,409487,SD671094,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1993-08-01,,"","",27,10,"Greater Manchester","Bolton","Bolton 020D","Urban major conurbation",North West,143,,E01004844
BL6 4LD,Yes,53.585504,-2.511437,366240,410001,SD662100,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",5,1,"","","Bolton 014B","Rural village",North West,170,,E01004885
BL6 4LE,Yes,53.582319,-2.516353,365912,409649,SD659096,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",1,1,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,144,,E01004885
BL6 4LF,Yes,53.583451,-2.516458,365906,409775,SD659097,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",25,12,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,149,,E01004885
BL6 4LG,Yes,53.584339,-2.514762,366019,409873,SD660098,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",34,13,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,155,,E01004885
BL6 4LH,Yes,53.588669,-2.513243,366123,410354,SD661103,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",5,3,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,169,,E01004885
BL6 4LJ,Yes,53.586679,-2.494956,367332,410124,SD673101,"Greater Manchester","Bolton","Heaton and Lostock", E08000001,E05000659,England,E11000010,"Bolton West",1980-01-01,,"","",2,1,"","","Bolton 012A","Urban major conurbation",North West,172,,E01004840
BL6 4LN,Yes,53.583073,-2.518689,365758,409734,SD657097,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",31,11,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,138,,E01004885
BL6 4LP,Yes,53.58427,-2.518401,365778,409867,SD657098,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",62,23,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,141,,E01004885
BL6 4LR,Yes,53.584715,-2.519388,365713,409917,SD657099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",76,33,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,139,,E01004885
BL6 4LS,Yes,53.585422,-2.517886,365813,409995,SD658099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",37,14,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,145,,E01004885
BL6 4LT,Yes,53.585026,-2.518033,365803,409951,SD658099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",15,6,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,144,,E01004885
BL6 4LU,Yes,53.584852,-2.520825,365618,409933,SD656099,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",36,16,"Greater Manchester","Horwich","Bolton 014D","Urban city and town",North West,135,,E01004887
BL6 4LW,Yes,53.583873,-2.520692,365626,409824,SD656098,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",32,16,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,132,,E01004885
BL6 4LX,Yes,53.586165,-2.52066,365630,410079,SD656100,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",5,2,"Greater Manchester","Horwich","Bolton 014D","Urban city and town",North West,138,,E01004887
BL6 4LY,Yes,53.58716,-2.521458,365578,410190,SD655101,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",1980-01-01,,"Horwich","",18,5,"Greater Manchester","Horwich","Bolton 014D","Urban city and town",North West,142,,E01004887
