Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DT2 8FL,Yes,50.697763,-2.32838,376904,88731,SY769887,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"South Dorset",2008-09-01,,"Crossways","",4,2,"Crossways","","West Dorset 011B","Rural town and fringe",South West,59,,E01020537
DT2 8FN,Yes,50.701922,-2.313909,377928,89189,SY779891,"Dorset","Purbeck","Wool", E07000051,E05010754,England,E10000009,"South Dorset",2006-10-01,,"Moreton","",17,7,"","","Purbeck 004B","Rural village",South West,48,,E01020490
DT2 8FP,Yes,50.70175,-2.31446,377889,89170,SY778891,"Dorset","Purbeck","Wool", E07000051,E05010754,England,E10000009,"South Dorset",2006-08-01,,"Moreton","",86,36,"","","Purbeck 004B","Rural village",South West,49,,E01020490
DT2 8FQ,Yes,50.667719,-2.328114,376908,85390,SY769853,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"South Dorset",2008-02-01,,"Owermoigne","",10,5,"Owermoigne","","West Dorset 011B","Rural village",South West,51,,E01020537
DT2 8FR,Yes,50.702016,-2.35336,375142,89212,SY751892,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"South Dorset",2009-01-01,,"Woodsford","",,,"","","West Dorset 011C","Rural village",South West,55,,E01020538
DT2 8FS,Yes,50.749836,-2.345315,375735,94527,SY757945,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",2009-01-01,,"Puddletown","",15,8,"Puddletown","","West Dorset 004E","Rural town and fringe",South West,57,,E01020540
DT2 8FW,Yes,50.686986,-2.380129,373243,87550,SY732875,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",2008-03-01,,"West Knighton","",9,3,"Broadmayne/West Knighton","West Knighton","West Dorset 011A","Rural village",South West,65,,E01020505
DT2 8FX,Yes,50.655752,-2.352122,375205,84067,SY752840,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"South Dorset",2013-05-01,,"Owermoigne","",,,"","","West Dorset 011B","Rural hamlet and isolated dwellings",South West,95,,E01020537
DT2 8FY,Yes,50.74624,-2.341943,375971,94126,SY759941,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",2011-01-01,,"Puddletown","",,,"","","West Dorset 004E","Rural hamlet and isolated dwellings",South West,65,,E01020540
DT2 8FZ,Yes,50.748303,-2.349683,375426,94358,SY754943,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",2013-10-01,,"Puddletown","",,,"","","West Dorset 004E","Rural town and fringe",South West,70,,E01020540
DT2 8GE,Yes,50.749461,-2.350542,375366,94487,SY753944,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",2002-09-01,,"Puddletown","",4,3,"Puddletown","","West Dorset 004E","Rural town and fringe",South West,62,,E01020540
DT2 8GF,Yes,50.749527,-2.349593,375433,94494,SY754944,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",2002-09-01,,"Puddletown","",62,24,"Puddletown","","West Dorset 004E","Rural town and fringe",South West,62,,E01020540
DT2 8GJ,Yes,50.675766,-2.390101,372532,86306,SY725863,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",2007-07-01,,"Broadmayne","",8,4,"Broadmayne/West Knighton","Broadmayne","West Dorset 011A","Rural village",South West,59,,E01020505
DT2 8GX,Yes,50.749868,-2.346506,375651,94531,SY756945,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",2007-04-01,,"Puddletown","",21,9,"Puddletown","","West Dorset 004E","Rural town and fringe",South West,57,,E01020540
